Make,Model,Engine Size,Mileage,Fuel Type,Transmission,Price,Car_Age
3,1,3.9,74176,2,1,30246.20793120509,11
2,2,1.7,94799,1,0,22785.747684331356,12
1,1,4.1,98385,1,1,25760.290347165286,20
3,1,2.6,88919,1,0,25638.00349070714,11
3,2,3.4,138482,2,0,21021.386657394465,22
2,2,2.7,81462,1,1,25509.93287629353,11
0,1,1.3,179340,0,1,12268.206025234887,26
0,2,2.0,165320,1,0,27783.73788099169,8
3,0,4.4,31159,1,0,27392.17842052496,22
2,2,4.4,42039,1,0,28434.53362361644,20
0,2,2.1,47800,1,0,29404.954005061834,8
2,1,4.5,40761,0,1,36811.01281668896,5
2,0,4.0,94626,2,0,25205.003959368507,22
3,3,3.1,118368,0,1,27796.075501353043,10
3,3,1.1,174735,0,1,23521.88168354501,5
4,4,4.2,80903,2,1,26493.183231202293,19
0,2,3.0,171484,1,0,16626.379445014078,26
0,2,4.0,118998,2,0,21122.1891416249,25
0,0,3.9,166439,2,1,21853.33258714576,12
1,3,3.9,136885,0,1,34716.98001970374,7
2,4,3.4,59894,2,1,32761.645499094437,9
3,0,2.0,51444,1,1,23469.161589430896,16
0,2,2.2,165341,0,0,20093.070808766803,17
4,3,2.1,61748,1,1,18920.31855483959,23
0,4,1.1,41190,0,0,20152.09690167459,22
2,1,3.0,40318,1,0,21520.12291774841,23
2,3,3.4,168090,2,0,23293.130308719145,14
3,4,4.0,124078,2,0,23633.389547739884,14
1,0,1.5,39759,2,1,29288.89578862573,9
3,1,2.9,16498,1,0,25839.54216182566,25
0,4,1.0,25989,0,1,25546.588800832757,11
4,4,1.3,156640,0,0,14089.788408398124,26
3,2,1.2,117035,0,1,22788.321295955186,8
1,3,3.5,66577,2,1,27694.611928539816,18
3,2,1.3,105231,1,1,15961.213902875084,24
2,1,3.5,161171,0,1,22519.39025009384,20
0,4,1.9,89900,1,1,19181.81635933002,17
0,2,4.1,171711,0,0,16604.498169800227,26
0,3,3.8,104679,2,1,23648.417357426908,17
0,1,4.4,23482,1,0,37032.60751681,6
0,0,4.1,69212,0,1,28849.579398883176,18
0,2,4.3,186333,0,0,25844.62473356537,12
4,1,4.0,30048,0,0,31479.64694321859,12
1,0,3.4,134137,0,0,14502.975868116162,24
0,2,1.6,133108,2,1,17622.004589515123,22
1,1,2.0,35814,0,0,26785.398168634143,18
0,1,1.7,190766,0,1,28722.71774326649,5
3,2,3.1,147996,2,1,20951.40955857868,18
0,1,2.8,129493,0,0,19794.718978131823,20
2,4,4.0,60204,1,0,30130.309562576305,15
4,2,4.3,32844,1,1,29445.48311355711,18
3,1,2.4,81943,0,1,24753.59681452641,21
3,0,2.8,21518,2,1,22407.72268350372,25
2,0,4.4,148131,2,1,23895.75456201794,18
0,4,2.0,23052,2,1,31599.826148544693,10
4,2,3.8,69803,0,1,23726.57862526377,26
3,1,1.8,71524,0,0,30346.215343516054,8
4,1,3.4,89572,1,1,22948.26789714067,21
3,0,1.9,139752,2,1,20338.96900473741,22
0,4,4.1,67021,0,0,21021.26925344609,25
3,0,3.0,20043,0,0,24750.239377055197,18
3,0,1.7,2419,0,0,31337.129832918512,13
1,4,1.8,187964,2,1,14716.4991509295,23
0,2,2.7,121831,2,0,21650.08173175999,23
2,1,4.4,101799,1,0,32908.9919162183,6
2,2,3.7,148212,2,1,25975.3181829386,12
0,3,2.7,174556,0,1,16516.158281751552,19
2,3,2.2,194941,1,1,15099.270863365697,23
0,3,2.9,176282,2,1,26209.114472633504,11
2,4,3.6,57600,2,0,33433.34058814334,6
1,0,3.7,116467,2,1,23440.80639148045,23
2,2,2.1,78497,2,0,28083.89791878724,11
3,1,3.5,108611,0,1,29044.03396667674,5
0,3,3.3,137559,2,0,25936.31066350544,15
4,2,4.4,60692,0,1,31637.942553880304,11
4,3,4.3,62112,0,1,32975.09518341061,8
0,3,3.8,162182,0,1,26186.290378010654,19
1,1,3.5,16360,1,0,28876.60673366304,21
2,4,2.0,180482,0,0,17198.895951445586,17
1,0,4.0,83038,2,0,24977.176126019443,22
4,4,2.5,3017,1,1,32422.38985271645,9
0,2,2.0,86261,2,0,26559.13630867799,17
0,4,2.3,191196,0,1,18619.12116092821,17
1,2,3.9,182021,2,1,25114.947306661936,20
1,2,1.5,189340,1,1,18439.53460515992,9
